time,base_time,time_offset,be_pwv,qc_be_pwv,be_lwp,qc_be_lwp,be_retrieval_status,cloud_base_height,qc_cloud_base_height,cloud_temp,qc_cloud_temp,surface_temp,qc_surface_temp,surface_vapor_pres,qc_surface_vapor_pres,surface_pres,qc_surface_pres,surface_rh,qc_surface_rh,tbsky23,qc_tbsky23,tbsky31,qc_tbsky31,orig_pwv,qc_orig_pwv,orig_lwp,qc_orig_lwp,tbsky23_nobias,tbsky31_nobias,stat2_pwv,qc_stat2_pwv,stat2_pwv_uncertainty,stat2_lwp,qc_stat2_lwp,stat2_lwp_uncertainty,stat2_tliq_status,tbsky23_calculated,qc_tbsky23_calculated,tbsky31_calculated,qc_tbsky31_calculated,phys_pwv,qc_phys_pwv,phys_pwv_uncertainty,qc_phys_pwv_uncertainty,phys_lwp,qc_phys_lwp,phys_lwp_uncertainty,qc_phys_lwp_uncertainty,phys_niter,qc_phys_niter,phys_rms,qc_phys_rms,phys_converge,qc_phys_converge,sonde_launch_status,sonde_pwv,qc_sonde_pwv,mean_pwv_mwr,sdev_pwv_mwr,num_pwv_mwr,mean_lwp_mwr,sdev_lwp_mwr,num_lwp_mwr,mean_tbsky23_mwr,qc_mean_tbsky23_mwr,sdev_tbsky23_mwr,qc_sdev_tbsky23_mwr,num_tbsky23_mwr,mean_tbsky31_mwr,qc_mean_tbsky31_mwr,sdev_tbsky31_mwr,qc_sdev_tbsky31_mwr,num_tbsky31_mwr,lat,lon,alt
2019-12-17 00:00:00,2019-12-17 00:00:00,2019-12-17 00:00:00,0.9582246,0,1.9905707,0,1,2.03,0,248.58162,0,274.017,0,0.555,0,99.07,0,85.3,0,19.786625,0,14.349417,0,0.827,0,35.0,0,20.334625,14.767056,0.9181913,0,0.027511844,14.749735,0,4.651567,0,20.371424,0,14.683601,0,0.9582246,0,0.029956749,0,1.9905707,0,5.4422073,0,4.0,0,1.0115244e-05,0,4.4924673e-06,0,0,,1,0.81983685,0.009815692,49,35.16326,1.5592059,49,19.727167,0,0.11739928,0,49,14.414787,0,0.08885849,0,49,69.14128,15.684167,2.0
2019-12-17 00:00:37,2019-12-17 00:00:00,2019-12-17 00:00:37,0.93594486,0,5.371515,0,1,2.03,0,246.83122,0,274.02438,0,0.5556167,0,99.07,0,85.42334,0,19.640726,0,14.462638,0,0.811,0,37.0,0,20.188726,14.880278,0.898023,0,0.02749618,16.989313,0,4.556925,0,20.372118,0,14.68384,0,0.93594486,0,0.029998926,0,5.371515,0,5.372078,0,4.0,0,1.0271387e-05,0,4.749745e-07,0,0,,1,0.8196601,0.009795065,50,35.219997,1.5945058,50,19.727665,0,0.1162483,0,50,14.419941,0,0.09519888,0,50,69.14128,15.684167,2.0
2019-12-17 00:00:56,2019-12-17 00:00:00,2019-12-17 00:00:56,0.94481647,0,3.246087,0,1,2.03,0,248.58643,0,274.0282,0,0.55593336,0,99.07,0,85.48667,0,19.663713,0,14.364158,0,0.818,0,35.0,0,20.211714,14.781797,0.9056821,0,0.027497077,15.737244,0,4.6545143,0,20.372528,0,14.68404,0,0.94481647,0,0.029946342,0,3.246087,0,5.439847,0,4.0,0,1.2883431e-05,0,3.8940925e-06,0,0,,1,0.81950986,0.009755764,51,35.27451,1.6257727,51,19.727848,0,0.11508735,0,51,14.424411,0,0.09949952,0,51,69.14128,15.684167,2.0
2019-12-17 00:01:27,2019-12-17 00:00:00,2019-12-17 00:01:27,0.95248353,0,3.0280058,0,1,2.21,0,248.2279,0,274.04428,0,0.5569,0,99.07,0,85.5,0,19.75563,0,14.388778,0,0.824,0,35.0,0,20.30363,14.806417,0.9129435,0,0.027503625,15.491337,0,4.6321907,0,20.373102,0,14.684256,0,0.95248353,0,0.029995108,0,3.0280058,0,5.426236,0,4.0,0,2.1955231e-05,0,3.474066e-06,0,0,,1,0.8195001,0.009659904,52,35.25,1.6194285,52,19.727364,0,0.11400719,0,52,14.424189,0,0.098532334,0,52,69.14128,15.684167,2.0
2019-12-17 00:01:46,2019-12-17 00:00:00,2019-12-17 00:01:46,0.94501394,0,2.08957,0,1,2.21,0,248.49927,0,274.05505,0,0.5575334,0,99.07,0,85.5,0,19.61777,0,14.2902975,0,0.817,0,34.0,0,20.16577,14.707937,0.9054071,0,0.02748693,14.703267,0,4.643132,0,20.37347,0,14.68438,0,0.94501394,0,0.02995043,0,2.08957,0,5.4291058,0,4.0,0,2.1955231e-05,0,5.087815e-06,0,0,,1,0.8193775,0.009608143,53,35.226414,1.6129466,53,19.725163,0,0.11403672,0,53,14.423021,0,0.09794961,0,53,69.14128,15.684167,2.0
2019-12-17 00:02:17,2019-12-17 00:00:00,2019-12-17 00:02:17,0.9522267,0,2.9009235,0,1,2.06,0,248.24887,0,274.06528,0,0.5585667,0,99.07,0,85.55667,0,19.747118,0,14.379471,0,0.823,0,35.0,0,20.295118,14.797111,0.91259384,0,0.0274991,15.385092,0,4.6326385,0,20.374083,0,14.684594,0,0.9522267,0,0.02999567,0,2.9009235,0,5.4191384,0,4.0,0,2.0286605e-05,0,2.1010637e-06,0,0,,1,0.819426,0.009523758,54,35.240738,1.6011223,54,19.726368,0,0.11330251,0,54,14.424688,0,0.097792,0,54,69.14128,15.684167,2.0
2019-12-17 00:02:36,2019-12-17 00:00:00,2019-12-17 00:02:36,0.93600327,0,4.1656394,0,1,2.22,0,249.0845,0,274.0678,0,0.5592,0,99.07,0,85.619995,0,19.586302,0,14.379471,0,0.81,0,35.0,0,20.134302,14.797111,0.89738876,0,0.027483415,16.633041,0,4.6879683,0,20.374474,0,14.684718,0,0.93600327,0,0.029922636,0,4.1656394,0,5.445792,0,4.0,0,1.0024927e-05,0,1.8235296e-06,0,0,,1,0.8194546,0.009437551,55,35.272724,1.6038674,55,19.7274,0,0.11250911,0,55,14.427638,0,0.099320665,0,55,69.14128,15.684167,2.0
2019-12-17 00:03:06,2019-12-17 00:00:00,2019-12-17 00:03:06,0.9403911,0,4.93868,0,1,2.32,0,248.39534,0,274.06992,0,0.56009996,0,99.07,0,85.729996,0,19.678188,0,14.453331,0,0.815,0,36.0,0,20.226189,14.870971,0.9018987,0,0.027490491,17.116531,0,4.6485286,0,20.375048,0,14.684934,0,0.9403911,0,0.029979715,0,4.93868,0,5.418266,0,4.0,0,6.7434958e-06,0,9.1502443e-07,0,0,,1,0.81949997,0.0093575455,56,35.285713,1.5921884,56,19.72832,0,0.11169377,0,56,14.429437,0,0.099330194,0,56,69.14128,15.684167,2.0
2019-12-17 00:03:25,2019-12-17 00:00:00,2019-12-17 00:03:25,0.95339626,0,4.682711,0,1,2.32,0,247.92604,0,274.06644,0,0.56041664,0,99.07,0,85.825005,0,19.839005,0,14.502602,0,0.826,0,37.0,0,20.387005,14.920241,0.91431963,0,0.027505498,16.83388,0,4.620754,0,20.375374,0,14.685034,0,0.95339626,0,0.030033631,0,4.682711,0,5.402317,0,4.0,0,6.7434958e-06,0,3.1189993e-06,0,0,,1,0.81963164,0.009326676,57,35.2807,1.5783627,57,19.730137,0,0.111539505,0,57,14.430309,0,0.09865952,0,57,69.14128,15.684167,2.0
2019-12-17 00:03:56,2019-12-17 00:00:00,2019-12-17 00:03:56,0.94874716,0,3.951314,0,1,2.05,0,247.80513,0,274.06073,0,0.5609333,0,99.07,0,85.98,0,19.747118,0,14.4318,0,0.82,0,36.0,0,20.295118,14.84944,0.909577,0,0.027494509,16.115799,0,4.6085267,0,20.37603,0,14.685265,0,0.94874716,0,0.030021453,0,3.951314,0,5.3954544,0,4.0,0,2.2294369e-05,0,3.0612573e-06,0,0,,1,0.81962067,0.009244872,58,35.27586,1.5648901,58,19.729246,0,0.11076475,0,58,14.430144,0,0.097798415,0,58,69.14128,15.684167,2.0
