dates,be_pwv,qc_be_pwv,be_lwp,qc_be_lwp,be_retrieval_status,cloud_base_height,qc_cloud_base_height,cloud_temp,qc_cloud_temp,surface_temp,qc_surface_temp,surface_vapor_pres,qc_surface_vapor_pres,surface_pres,qc_surface_pres,surface_rh,qc_surface_rh,tbsky23,qc_tbsky23,tbsky31,qc_tbsky31,orig_pwv,qc_orig_pwv,orig_lwp,qc_orig_lwp,tbsky23_nobias,tbsky31_nobias,stat2_pwv,qc_stat2_pwv,stat2_pwv_uncertainty,stat2_lwp,qc_stat2_lwp,stat2_lwp_uncertainty,stat2_tliq_status,tbsky23_calculated,qc_tbsky23_calculated,tbsky31_calculated,qc_tbsky31_calculated,phys_pwv,qc_phys_pwv,phys_pwv_uncertainty,qc_phys_pwv_uncertainty,phys_lwp,qc_phys_lwp,phys_lwp_uncertainty,qc_phys_lwp_uncertainty,phys_niter,qc_phys_niter,phys_rms,qc_phys_rms,phys_converge,qc_phys_converge,sonde_launch_status,sonde_pwv,qc_sonde_pwv,mean_pwv_mwr,sdev_pwv_mwr,num_pwv_mwr,mean_lwp_mwr,sdev_lwp_mwr,num_lwp_mwr,mean_tbsky23_mwr,qc_mean_tbsky23_mwr,sdev_tbsky23_mwr,qc_sdev_tbsky23_mwr,num_tbsky23_mwr,mean_tbsky31_mwr,qc_mean_tbsky31_mwr,sdev_tbsky31_mwr,qc_sdev_tbsky31_mwr,num_tbsky31_mwr
200508,0.70094283,0.11774461,71.49498045,0.11774461,1.000710732,1.141626781,0.217484009,260.9969794,0.205164653,273.9702677,0,0.548273328,0,100.7387319,0,85.002147,0,20.33719794,3.820895522,18.12195533,3.822790808,0.761692028,0,91.20374319,0.000473821,20.88519826,18.65627221,0.754445893,0.289504857,0.027800662,100.0666311,0.289504857,7.578125925,0.019900498,17.10179571,0,13.84479019,0,0.803649628,0.254205165,0.029641403,0.000710732,79.11848496,0.254205165,6.216156013,0.000710732,3.515280739,0,0.000579116,0,6.12E-05,0,0.000947643,0.000674476,0.999052357,0.761651309,0.037295893,116.6640606,91.06756397,90.49049396,116.6640606,19.87737466,0.014214641,2.518768231,0.014214641,114.1068467,17.59676691,0.014214641,3.924704972,0.014214641,114.1068467
200509,0.370833995,0.407574618,53.78155176,0.407574618,1,0.743694718,0.815149235,255.2546558,0.938550288,273.9940431,0,0.493899638,0,100.8163563,0,76.68949868,0,16.92601737,0,15.95633171,0,0.573576342,0,61.76297968,0,17.47401908,16.49064734,0.555409573,0.815149235,0.027557082,77.49764077,0.815149235,6.982159303,0.242036619,15.66186983,0,13.39483497,0,0.598247833,0.815149235,0.029290577,0,57.7302679,0.815149235,6.509308573,0,3.256834713,0,0.000261443,0,4.44E-05,0,0.001003261,0.000599377,0.998996739,0.573648782,0.037651049,110.8389767,62.01704367,82.49101768,110.8389767,16.93478022,0,2.836765386,0,110.8389767,15.96935156,0,4.193126685,0,110.8389767
200510,0.415036179,0.466080747,36.0228646,0.466080747,2,0.849201558,0.921175501,249.7840222,1.202416918,275.0846265,0,0.534967898,0,100.6237126,0,76.25712373,0,17.36920124,4.464707498,14.90708897,4.464707498,0.674357577,0.001098599,33.99588025,0,17.91720166,15.43749356,0.659026806,1.006866246,0.027434219,45.37705987,1.006866246,5.640388973,0.361988465,--,1,--,1,--,1.964020873,--,1,--,1.964020873,--,1,--,1,--,1,--,1,0.001098599,0.000707515,0.998901401,0.6747316,0.038914312,101.0873386,33.97047514,26.82718947,101.0873386,17.15888707,0.016753639,1.037297727,0.016753639,98.33342488,14.70303595,0.016753639,1.371365718,0.016753639,98.33342488
200511,0.675115312,0.158357075,117.7757894,0.158357075,2,1.210966018,0.256410256,257.3835173,0.24620133,275.881529,0,0.607514558,0,99.93804903,0,81.95572917,0,23.74866453,9.810066477,22.24496602,9.838556505,0.853830944,0,177.6521842,0,24.29666541,22.77537022,0.843340607,0.497625831,0.028095724,175.43934,0.497625831,10.04273412,0.121794872,--,1,--,1,--,1.377018044,--,1,--,1.377018044,--,1,--,1,--,1,--,1,0.000949668,0.000714081,0.999050332,0.853651838,0.098312871,116.622982,177.5665509,167.2330247,116.622982,20.6558067,0.041547958,3.742164778,0.041547958,109.050095,18.71387182,0.041547958,5.291973639,0.041547958,109.050095
200512,0.667075489,0.147245494,80.38785225,0.147245494,1.008631632,1.190956768,0.262503173,255.8635123,0.131251587,274.6451828,0,0.569913594,0,99.79092092,0,83.85983118,0,22.19210936,6.776339172,20.54489163,6.788525006,0.813343429,0,148.1325209,0,22.74010893,21.07529671,0.802190683,0.494034019,0.028041569,145.4786431,0.494034019,9.03670328,0.003554202,17.34831572,0,13.83928047,0,0.814274312,0.386900228,0.029933731,0.008631632,111.2529195,0.386900228,5.731060291,0.008631632,3.546077685,0,0.000304327,0,6.74E-05,0,0.001015486,0.000746652,0.998984514,0.813710414,0.099643433,110.44656,148.5787954,145.8031861,110.44656,19.46419023,0.034272658,3.726071368,0.034272658,104.5123128,17.53449678,0.03452653,5.288725327,0.03452653,104.4815943
200513,0.540895213,0.216562173,23.92624453,0.216562173,1.000522466,1.477274768,0.433124347,252.7983118,0.423981191,274.8327782,0,0.507722861,0,100.1922348,0,73.92310769,0,17.01083199,0,14.49308447,0,0.657870716,0,27.82392894,0,17.55883253,15.02348852,0.644185831,0.433124347,0.027418964,42.09105603,0.433124347,5.752158234,0.109456635,17.09859404,0,13.77563043,0,0.687641459,0.433646813,0.029749473,0.000522466,24.67761804,0.433646813,5.85914489,0.000522466,3.111546499,0,7.10E-05,0,3.56E-05,0,0.001044932,0.00075009,0.998955068,0.658030543,0.027965289,106.6175549,28.21357228,53.25185312,106.6175549,17.02486408,0,1.828732545,0,106.6175549,14.5133086,0,2.628378172,0,106.6175549
200514,0.579356496,0.188770325,44.71035791,0.188770325,1,1.50021933,0.37754065,252.3210112,0.495172764,276.2702617,0,0.522885578,0,100.3015434,0,68.60379351,0,17.8682117,0,15.56687766,0,0.677375235,0,46.48297764,0,18.41621014,16.09890871,0.663493087,0.37754065,0.027431701,60.3448655,0.37754065,6.145038884,0.254319106,17.50916619,0,13.86599856,0,0.703674316,0.37754065,0.029439166,0,44.19075521,0.37754065,6.027738742,0,3.117123984,0,0.000395015,0,4.93E-05,0,0.00101626,0.00078393,0.99898374,0.677354704,0.023267595,109.7357724,46.58426623,49.35131637,109.7357724,17.87116521,0,1.685270232,0,109.7357724,15.57202942,0,2.5401326,0,109.7357724
200515,0.799219411,0.133517034,90.23104021,0.133517034,1,1.341652054,0.266533066,257.9823553,0.133266533,275.737882,0,0.580100631,0,98.99232058,0,79.15073898,0,23.31498544,0.064128257,20.21629,0.064128257,0.921940867,0,122.3339178,0,23.86298574,20.74832086,0.913860986,0.270541082,0.027874108,124.9124029,0.270541082,8.012545599,0,18.92448569,0,14.17630769,0,0.955118734,0.268537074,0.029523219,0,108.3436169,0.268537074,5.827739463,0,3.514779559,0,0.001039217,0,5.68E-05,0,0.001002004,0.000841117,0.998997996,0.922028872,0.056347107,111.4579158,122.6209998,57.46619019,111.4579158,23.3081632,0.000501002,2.144704203,0.000501002,111.3401804,20.22060723,0.000501002,2.929988884,0.000501002,111.3401804
200516,0.49481173,0.258501441,-2.776797776,0.258501441,1,3.371980818,0.517002882,236.7048271,1.006051873,278.3991354,0,0.536701864,0,99.99833393,0,60.89411023,0,15.60958664,0,12.57078643,0,0.635769486,0,-8.776657061,0,16.15758736,13.0877668,0.618202196,0.517002882,0.027008993,8.524094921,0.517002882,4.121763835,0.663400576,16.86646254,0,13.51861154,0,0.655942819,0.517002882,0.02978914,0,-3.245443646,0.517002882,5.680241917,0,2.998559078,0,2.31E-05,0,1.83E-05,0,0.000864553,0.000579306,0.999135447,0.635796504,0.016989229,95.86051873,-8.77628895,3.20749167,95.86051873,15.60991309,0,0.249558207,0,95.86051873,12.57074365,0,0.179943039,0,95.86051873
200517,0.736824613,0.187313635,13.41320692,0.187313635,1.033071293,2.132538512,0.275955544,252.6574614,0.358904852,277.2012232,0,0.672330191,0,100.6359023,0,82.36025176,0,24.55390604,9.690431011,20.74219809,9.706695581,1.036685289,0,156.5356465,0,25.10190558,21.27767942,1.036604946,0.839793982,0.028298717,153.1816719,0.839793982,9.79437284,0.210084034,19.61830781,0,14.68968767,0,0.922058188,0.590946056,0.028895022,0.033071293,53.9822191,0.590946056,5.754958788,0.033071293,3.492816481,0,0.000817445,0,7.03E-05,0,0.000813229,0.000754203,0.999186771,1.03776688,0.231010902,102.6611548,157.2406479,162.8859447,102.6611548,17.79084779,0.070479805,0.87434587,0.070479805,91.42504744,13.7259134,0.070479805,1.063069286,0.070479805,91.42504744
